;Partos  Realizados - Ano 2025;;;;;;;;;;;;;;;;;
Período;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;média;total;;;;
Cesariano;44;34;66;35;42;44;47;48;;;;;45;360;;;;
Vaginal;118;86;140;122;144;150;132;123;;;;;127;1015;;;;
Total de saídas*;174;137;221;181;199;200;197;183;;;;;187;1492;;;;
*total de saídas inclui procedimentos especiais;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Partos;Proc Esp
;;;;;;;;;;;;;;;;jan;162;12
;;;;;;;;;;;;;;;;fev;120;17
;;;;;;;;;;;;;;;;mar;206;15
;;;;;;;;;;;;;;;;abr;157;24
;;;;;;;;;;;;;;;;mai;186;13
;;;;;;;;;;;;;;;;jun;194;6
;;;;;;;;;;;;;;;;jul;179;18
;;;;;;;;;;;;;;;;ago;171;12
